ALIGNMNT,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,CITY,COUNTY,C_M_ZONE,DAY,DAY_WEEK,DRUNK_DR,FATALS,FUNC_SYS,HARM_EV,HIT_RUN,HOSP_HR,HOSP_MN,HOUR,LATITUDE,LGT_COND,LONGITUD,MAN_COLL,MILEPT,MINUTE,MONTH,NHS,NOT_HOUR,NOT_MIN,NO_LANES,PAVE_TYP,PEDS,PERMVIT,PERNOTMVIT,PERSONS,PROFILE,PVH_INVL,RAIL,RD_OWNER,RELJCT1,RELJCT2,REL_JUNC,REL_ROAD,ROAD_FNC,ROUTE,RUR_URB,SCH_BUS,SP_JUR,SP_LIMIT,STATE,ST_CASE,SUR_COND,TRAF_FLO,TRA_CONT,TWAY_ID,TWAY_ID2,TYP_INT,T_CONT_F,VE_FORMS,VE_TOTAL,WEATHER,WEATHER1,WEATHER2,WRK_ZONE,YEAR,latitude,longitud
,14,46,0,0,0,1460,13,,8,1,0,1,4.0,1,,14,53,14,31.82686111,1,-86.6481,0,0.0,40,2,0,14,43,,,0,3.0,0.0,3,,0.0,0000000,1.0,0.0,8.0,,1,,3,2.0,0,0,,1,10058,,,,SR-10,,1.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,22,13,0,0,0,0,33,,10,3,0,1,3.0,8,,22,46,22,34.65318611,2,-87.5282,0,568.0,0,2,1,22,4,,,1,1.0,1.0,1,,0.0,0000000,1.0,0.0,1.0,,1,,3,1.0,0,0,,1,10059,,,,SR-157,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,18,25,0,0,0,2564,49,,10,3,0,1,4.0,12,,99,99,17,34.52244722,2,-85.8272,6,880.0,39,2,0,17,56,,,0,7.0,0.0,7,,0.0,0000000,4.0,0.0,1.0,,1,,6,1.0,0,0,,1,10060,,,,MCCURDY AVE,,1.0,,2,2.0,10,10.0,0.0,0.0,2015,,
,21,48,0,0,0,0,93,,13,6,1,1,5.0,1,,99,99,21,34.06270556,2,-87.82600000000001,0,111.0,33,2,0,99,99,,,0,3.0,0.0,3,,0.0,0000000,1.0,0.0,1.0,,1,,3,1.0,0,0,,1,10061,,,,SR-253,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,11,1,0,0,0,0,89,,14,7,0,1,3.0,19,,99,99,10,34.76898333,1,-86.4939,0,1045.0,55,2,1,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,5,,2,2.0,0,0,,1,10062,,,,US-SR 2,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,4,33,0,0,0,845,45,,1,1,1,1,3.0,1,,99,99,3,31.28759444,2,-85.7004,0,1910.0,55,2,1,99,99,,,0,3.0,0.0,3,,0.0,0000000,1.0,0.0,1.0,,4,,2,2.0,0,0,,1,10063,,,,US-SR 12,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,0,26,0,0,0,2100,97,,4,4,0,1,1.0,8,,88,88,0,30.70100278,2,-88.1236,0,55.0,19,2,1,99,99,,,1,1.0,1.0,1,,0.0,0000000,1.0,0.0,1.0,,1,,1,2.0,0,0,,1,10064,,,,I-65,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,10,51,0,0,0,2650,3,,31,7,0,1,4.0,12,,99,99,10,30.45154444,1,-87.6802,1,0.0,47,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,2.0,0.0,1.0,,1,,4,1.0,0,0,,1,10065,,,,CR-FOLEY BEACH EXPRESS,,1.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,1,54,0,0,0,2130,101,,8,1,1,1,3.0,42,,2,22,1,32.32658333,3,-86.2974,0,0.0,41,2,0,1,46,,,0,2.0,0.0,2,,0.0,0000000,4.0,0.0,1.0,,3,,6,2.0,0,0,,1,10066,,,,SOUTHERN BLVD,,1.0,,1,1.0,10,10.0,0.0,0.0,2015,,
,12,14,0,0,0,200,81,,11,4,0,1,3.0,12,,99,99,11,32.61580556,1,-85.508,2,0.0,41,2,1,11,55,,,0,8.0,0.0,8,,0.0,0000000,1.0,0.0,1.0,,1,,3,2.0,0,0,,1,10067,,,,SR-147,,1.0,,4,4.0,1,1.0,0.0,0.0,2015,,
